Company,Position,Salary
Amarin Corporation plc,"Sales Associate
5 Salaries submitted",168
Amarin Corporation plc,"Senior Sales Representative
4 Salaries submitted",282
Amarin Corporation plc,"Sales
4 Salaries submitted",307
Amarin Corporation plc,"Cardiovascular Specialty Sales Representative
4 Salaries submitted",291
Amarin Corporation plc,"Territory Sales Representative
3 Salaries submitted",256
Amarin Corporation plc,"Sales Manager
3 Salaries submitted",305
Amarin Corporation plc,"Pharmaceutical Representative
2 Salaries submitted",275
Amarin Corporation plc,"Inside Sales Representative
2 Salaries submitted",174
Amarin Corporation plc,"Medical Science Liaison (MSL)
2 Salaries submitted",283
Amarin Corporation plc,"Director
2 Salaries submitted",379
Amarin Corporation plc,"Pharmacy Sales Manager
1 Salaries submitted",239
Amarin Corporation plc,"District Manager
1 Salaries submitted",297
Amarin Corporation plc,"Pharmacy Representative
1 Salaries submitted",132
Amarin Corporation plc,"Cardio Metabolic Sales Specialist
1 Salaries submitted",263
Amarin Corporation plc,"Senior Medical Science Liaison
1 Salaries submitted",321
Applied Molecular Transport Inc,"Research Associate
7 Salaries submitted",84
Applied Molecular Transport Inc,"Research Scientist
4 Salaries submitted",149
Applied Molecular Transport Inc,"Associate Scientist
2 Salaries submitted",96
Applied Molecular Transport Inc,"Senior Research Associate
2 Salaries submitted",112
Applied Molecular Transport Inc,"Intern - Hourly
2 Salaries submitted",74
Applied Molecular Transport Inc,"Clinical Research Associate
1 Salaries submitted",104
Applied Molecular Transport Inc,"Manufacturing Associate II
1 Salaries submitted",67
Applied Molecular Transport Inc,"Scientist
1 Salaries submitted",146
Applied Molecular Transport Inc,"Manufacturing Associate
1 Salaries submitted",53
Applied Molecular Transport Inc,"Remote Data Entry Clerk
1 Salaries submitted",47
Applied Molecular Transport Inc,"Manufacturing Associate I
1 Salaries submitted",59
Applied Molecular Transport Inc,"QA Specialist
1 Salaries submitted",89
Applied Molecular Transport Inc,"Data Entry
1 Salaries submitted",51
Applied Molecular Transport Inc,"Sr. Clinical Research Associate
1 Salaries submitted",141
Applied Molecular Transport Inc,"Director, Total Rewards
1 Salaries submitted",252
Applied Molecular Transport Inc,"Materials Management
1 Salaries submitted",103
Applied Molecular Transport Inc,"Consultant
1 Salaries submitted",155
Applied Molecular Transport Inc,"In-House Clinical Research Associate
1 Salaries submitted",110
Applied Molecular Transport Inc,"Manufacturing Associate 2
1 Salaries submitted",66
Applied Molecular Transport Inc,"Project Manager Associate
1 Salaries submitted",121
"AnaptysBio, Inc.","Research Associate
5 Salaries submitted",86
"AnaptysBio, Inc.","Research Associate II
2 Salaries submitted",83
"AnaptysBio, Inc.","Associate Scientist
2 Salaries submitted",92
"AnaptysBio, Inc.","Scientist II
2 Salaries submitted",123
"AnaptysBio, Inc.","Senior Research Associate II
2 Salaries submitted",113
"AnaptysBio, Inc.","Senior Research Associate
2 Salaries submitted",113
"AnaptysBio, Inc.","Research Associate I
1 Salaries submitted",70
"AnaptysBio, Inc.","ACH Specialist
1 Salaries submitted",79
"AnaptysBio, Inc.","Finance Manager
1 Salaries submitted",201
"AnaptysBio, Inc.","Administrative
1 Salaries submitted",82
"AnaptysBio, Inc.","Senior Research Scientist
1 Salaries submitted",180
"AnaptysBio, Inc.","Scientist I
1 Salaries submitted",104
"AnaptysBio, Inc.","SeniorResearcher
1 Salaries submitted",137
"AnaptysBio, Inc.","Research Scientist
1 Salaries submitted",139
"AnaptysBio, Inc.","Senior Clinical Study Manager
1 Salaries submitted",170
"AnaptysBio, Inc.","Research Scientist I, Protein Engineering
1 Salaries submitted",151
"AnaptysBio, Inc.","Senior Associate Scientist
1 Salaries submitted",118
"AnaptysBio, Inc.","Research Associate 2
1 Salaries submitted",79
"AnaptysBio, Inc.","Associate Director clinical pharmacology
1 Salaries submitted",224
Anika Therapeutics Inc.,"Manufacturing Technician
3 Salaries submitted",60
Anika Therapeutics Inc.,"Quality Engineer
2 Salaries submitted",109
Anika Therapeutics Inc.,"Clinical Research Associate
2 Salaries submitted",116
Anika Therapeutics Inc.,"Technician
2 Salaries submitted",66
Anika Therapeutics Inc.,"Sales Representative
2 Salaries submitted",224
Anika Therapeutics Inc.,"QC Analyst I
2 Salaries submitted",73
Anika Therapeutics Inc.,"QC Technician I
1 Salaries submitted",64
Anika Therapeutics Inc.,"Human Resources Generalist
1 Salaries submitted",102
Anika Therapeutics Inc.,"Assistant Controller
1 Salaries submitted",212
Anika Therapeutics Inc.,"QC Microbiologist
1 Salaries submitted",82
Anika Therapeutics Inc.,"Digital Marketing Specialist
1 Salaries submitted",93
Anika Therapeutics Inc.,"Director of Education
1 Salaries submitted",207
Anika Therapeutics Inc.,"AP Manager
1 Salaries submitted",143
Anika Therapeutics Inc.,"Global Director of Quality
1 Salaries submitted",299
Anika Therapeutics Inc.,"QC Analyst
1 Salaries submitted",84
Anika Therapeutics Inc.,"Sr Financial Analyst
1 Salaries submitted",154
Anika Therapeutics Inc.,"Intern
1 Salaries submitted",88
Anika Therapeutics Inc.,"QC Chemist/Analyst
1 Salaries submitted",75
Anika Therapeutics Inc.,"Experienced Senior Microbiologist
1 Salaries submitted",195
Anika Therapeutics Inc.,"Senior Accountant
1 Salaries submitted",119
"Anixa Biosciences, Inc.","Vice President Engineering
1 Salaries submitted",366
"Annovis Bio, Inc.","VP Clinical Operations
1 Salaries submitted",263
"Apellis Pharmaceuticals, Inc.","Associate Director
10 Salaries submitted",253
"Apellis Pharmaceuticals, Inc.","Director
8 Salaries submitted",298
"Apellis Pharmaceuticals, Inc.","Senior Manager
6 Salaries submitted",239
"Apellis Pharmaceuticals, Inc.","Clinical Trial Associate
5 Salaries submitted",96
"Apellis Pharmaceuticals, Inc.","Executive Assistant
5 Salaries submitted",99
"Apellis Pharmaceuticals, Inc.","Sr. Director
2 Salaries submitted",463
"Apellis Pharmaceuticals, Inc.","Medical Science Liaison (MSL)
2 Salaries submitted",292
"Apellis Pharmaceuticals, Inc.","General Counsel
2 Salaries submitted",405
"Apellis Pharmaceuticals, Inc.","Clinical Trial Manager
2 Salaries submitted",146
"Apellis Pharmaceuticals, Inc.","Associate Director of Biostatistics
2 Salaries submitted",234
"Apellis Pharmaceuticals, Inc.","Principal Biostatistician
2 Salaries submitted",157
"Apellis Pharmaceuticals, Inc.","Manager
2 Salaries submitted",189
"Apellis Pharmaceuticals, Inc.","Vice President
2 Salaries submitted",609
"Apellis Pharmaceuticals, Inc.","Research Assistant
1 Salaries submitted",73
"Apellis Pharmaceuticals, Inc.","Director, Medical Writing
1 Salaries submitted",205
"Apellis Pharmaceuticals, Inc.","IT Support Specialist
1 Salaries submitted",73
"Apellis Pharmaceuticals, Inc.","Vice President Marketing
1 Salaries submitted",450
"Apellis Pharmaceuticals, Inc.","Intern - Hourly
1 Salaries submitted",90
"Apellis Pharmaceuticals, Inc.","CTM Manager
1 Salaries submitted",221
"Apellis Pharmaceuticals, Inc.","QA Manager
1 Salaries submitted",164
"Applied Therapeutics, Inc.","Senior Project Manager
1 Salaries submitted",164
"Applied Therapeutics, Inc.","Program Manager
1 Salaries submitted",135
"Applied Therapeutics, Inc.","Senior Medical Director Clinical Development
1 Salaries submitted",327
"Applied Therapeutics, Inc.","Associate Director
1 Salaries submitted",218
"Aptose Biosciences, Inc.","Senior Clinical Research Associate
2 Salaries submitted",142
"Aptose Biosciences, Inc.","Research Assistant
2 Salaries submitted",68
"Aptose Biosciences, Inc.","VP Clinical Operations
1 Salaries submitted",368
"Aptose Biosciences, Inc.","Senior CRA
1 Salaries submitted",162
"Aptose Biosciences, Inc.","Senior Operations Coordinator
1 Salaries submitted",93
"Aptose Biosciences, Inc.","Senior Research Associate
1 Salaries submitted",105
"Aptose Biosciences, Inc.","Lab Assistant
1 Salaries submitted",51
"Aptose Biosciences, Inc.","Research Scientist I
1 Salaries submitted",121
"Aptose Biosciences, Inc.","In-House Clinical Research Associate I
1 Salaries submitted",101
"Aptose Biosciences, Inc.","Lab Assistant Intern
1 Salaries submitted",49
Aptinyx Inc.,"Research Technologist
4 Salaries submitted",115
Aptinyx Inc.,"Research Technologist II
3 Salaries submitted",112
Aptinyx Inc.,"Clinical Study Manager
2 Salaries submitted",149
Aptinyx Inc.,"Associate Director
2 Salaries submitted",222
Aptinyx Inc.,"Associate Director, Clinical Data Management
2 Salaries submitted",149
Aptinyx Inc.,"Director of Procurement
1 Salaries submitted",313
Aptinyx Inc.,"Senior Clinical Operations Manager
1 Salaries submitted",167
Aptinyx Inc.,"Associate director of toxicology
1 Salaries submitted",229
Aptinyx Inc.,"Research Associate
1 Salaries submitted",113
Aptevo Therapeutics Inc.,"Associate Scientist
2 Salaries submitted",118
Aptevo Therapeutics Inc.,"Senior Scientist
2 Salaries submitted",200
Aptevo Therapeutics Inc.,"Network Administrator
1 Salaries submitted",130
Aptevo Therapeutics Inc.,"Scientist I
1 Salaries submitted",132
Aptevo Therapeutics Inc.,"Sr Manager, Finance
1 Salaries submitted",269
Aptevo Therapeutics Inc.,"Project Manager- Drug Development
1 Salaries submitted",241
Aptevo Therapeutics Inc.,"Manager Site Services/Plant Maintenance
1 Salaries submitted",142
Aptevo Therapeutics Inc.,"Consultant
1 Salaries submitted",177
Aptevo Therapeutics Inc.,"Scientist
1 Salaries submitted",183
Aptevo Therapeutics Inc.,"Sec Reporting Manager
1 Salaries submitted",207
Aptevo Therapeutics Inc.,"Assistant Scientist
1 Salaries submitted",113
Aptevo Therapeutics Inc.,"Clinical Project Manager
1 Salaries submitted",173
Aptevo Therapeutics Inc.,"Analyst
1 Salaries submitted",116
"AquaBounty Technologies, Inc.","Postdoctoral Researcher
2 Salaries submitted",95
"AquaBounty Technologies, Inc.","Aquaculture Processing Associate
1 Salaries submitted",65
"AquaBounty Technologies, Inc.","Chief Technology Officer
1 Salaries submitted",379
"AquaBounty Technologies, Inc.","Aquaculture Technician
1 Salaries submitted",51
"Aravive, Inc.","Vice President
1 Salaries submitted",421
"Aravive, Inc.","Senior Director, Medical Writer
1 Salaries submitted",203
Arcturus Therapeutics Holdings ,"Research Associate
14 Salaries submitted",88
Arcturus Therapeutics Holdings ,"Research Associate II
7 Salaries submitted",89
Arcturus Therapeutics Holdings ,"Research Associate I
7 Salaries submitted",73
Arcturus Therapeutics Holdings ,"Scientist I
4 Salaries submitted",116
Arcturus Therapeutics Holdings ,"Research Assistant
4 Salaries submitted",68
Arcturus Therapeutics Holdings ,"Senior Scientist
3 Salaries submitted",182
Arcturus Therapeutics Holdings ,"Senior Research Associate
3 Salaries submitted",109
Arcturus Therapeutics Holdings ,"Scientist
2 Salaries submitted",137
Arcturus Therapeutics Holdings ,"Scientist II
2 Salaries submitted",123
Arcturus Therapeutics Holdings ,"Senior Research Associate I
1 Salaries submitted",104
Arcturus Therapeutics Holdings ,"Economist
1 Salaries submitted",153
Arcturus Therapeutics Holdings ,"Clinical Development Associate
1 Salaries submitted",115
Arcturus Therapeutics Holdings ,"Lab Support Technician
1 Salaries submitted",54
Arcturus Therapeutics Holdings ,"Postdoctoral Fellow
1 Salaries submitted",79
Arcturus Therapeutics Holdings ,"Finance
1 Salaries submitted",195
Arcturus Therapeutics Holdings ,"Reaseach Associate
1 Salaries submitted",106
Arcturus Therapeutics Holdings ,"IT Desktop Support
1 Salaries submitted",67
Arcturus Therapeutics Holdings ,"Research Associate: Formulation Development
1 Salaries submitted",123
Arcturus Therapeutics Holdings ,"Senior Program Manager, Biotech
1 Salaries submitted",180
Arcturus Therapeutics Holdings ,"Senior RA
1 Salaries submitted",184
Aridis Pharmaceuticals Inc.,"Research Associate
2 Salaries submitted",94
Aridis Pharmaceuticals Inc.,"Associate Scientist
1 Salaries submitted",109
Aridis Pharmaceuticals Inc.,"Research Associate I
1 Salaries submitted",77
"Ardelyx, Inc.","Case Manager
2 Salaries submitted",73
"Ardelyx, Inc.","Research Scientist
2 Salaries submitted",145
"Ardelyx, Inc.","Associate Director
2 Salaries submitted",225
"Ardelyx, Inc.","Scientist
2 Salaries submitted",142
"Ardelyx, Inc.","QA Specialist
1 Salaries submitted",93
"Ardelyx, Inc.","CA
1 Salaries submitted",154
"Ardelyx, Inc.","Sr. Scientist
1 Salaries submitted",184
"Ardelyx, Inc.","Scientist I
1 Salaries submitted",109
"Ardelyx, Inc.","Analytical Chemist
1 Salaries submitted",96
"Ardelyx, Inc.","Quality Assurance Manager
1 Salaries submitted",160
"Ardelyx, Inc.","National Account Manager
1 Salaries submitted",383
"Ardelyx, Inc.","Clinical Trial Associate
1 Salaries submitted",90
"Ardelyx, Inc.","Senior Recruiter
1 Salaries submitted",221
"Ardelyx, Inc.","Research Chemist
1 Salaries submitted",120
"Ardelyx, Inc.","Medical Science Liaison
1 Salaries submitted",257
"Ardelyx, Inc.","Quality Assurance Specialist III
1 Salaries submitted",89
"Ardelyx, Inc.","Clinical Supply Chain Manager
1 Salaries submitted",168
"Ardelyx, Inc.","Sales Representative
1 Salaries submitted",184
"Ardelyx, Inc.","Senior VP, General Counsel
1 Salaries submitted",323
"Ardelyx, Inc.","Clinical Trial Assistant
1 Salaries submitted",87
"Armata Pharmaceuticals, Inc.","Research Associate
3 Salaries submitted",91
"Armata Pharmaceuticals, Inc.","Scientist
3 Salaries submitted",139
"Armata Pharmaceuticals, Inc.","Senior Research Associate
2 Salaries submitted",121
"Armata Pharmaceuticals, Inc.","Manufacturing Associate
2 Salaries submitted",59
"Armata Pharmaceuticals, Inc.","Quality Assurance Associate
1 Salaries submitted",74
"Armata Pharmaceuticals, Inc.","Lab Technician
1 Salaries submitted",61
"Arcutis Biotherapeutics, Inc.","Therapeutic Sales Specialist
1 Salaries submitted",271
"Arcutis Biotherapeutics, Inc.","Sales
1 Salaries submitted",334
"Arcutis Biotherapeutics, Inc.","Medical Science Liaison (MSL)
1 Salaries submitted",335
"Arcutis Biotherapeutics, Inc.","R&D Team Leader
1 Salaries submitted",296
"Arcutis Biotherapeutics, Inc.","Director National Accounts
1 Salaries submitted",540
"Arcutis Biotherapeutics, Inc.","Therapeutic Specialist
1 Salaries submitted",259
"Arcutis Biotherapeutics, Inc.","Manager - FPA
1 Salaries submitted",240
"Arrowhead Pharmaceuticals, Inc.","Associate Scientist
8 Salaries submitted",94
"Arrowhead Pharmaceuticals, Inc.","Associate Scientist II
7 Salaries submitted",96
"Arrowhead Pharmaceuticals, Inc.","Senior Scientist
5 Salaries submitted",188
"Arrowhead Pharmaceuticals, Inc.","Associate Scientist I
5 Salaries submitted",83
"Arrowhead Pharmaceuticals, Inc.","Research Scientist
3 Salaries submitted",141
"Arrowhead Pharmaceuticals, Inc.","Technical Writer
3 Salaries submitted",104
"Arrowhead Pharmaceuticals, Inc.","Associate Chemist
2 Salaries submitted",83
"Arrowhead Pharmaceuticals, Inc.","Associate Scientist III
2 Salaries submitted",106
"Arrowhead Pharmaceuticals, Inc.","Manager
2 Salaries submitted",171
"Arrowhead Pharmaceuticals, Inc.","Senior Scientist II
2 Salaries submitted",169
"Arrowhead Pharmaceuticals, Inc.","Associate Director
2 Salaries submitted",279
"Arrowhead Pharmaceuticals, Inc.","Senior Scientist, Biology
2 Salaries submitted",138
"Arrowhead Pharmaceuticals, Inc.","Biology
2 Salaries submitted",90
"Arrowhead Pharmaceuticals, Inc.","Senior Research Associate
1 Salaries submitted",109
"Arrowhead Pharmaceuticals, Inc.","Director
1 Salaries submitted",339
"Arrowhead Pharmaceuticals, Inc.","Lab Support Specialist
1 Salaries submitted",59
"Arrowhead Pharmaceuticals, Inc.","Sr Manager, Finance
1 Salaries submitted",248
"Arrowhead Pharmaceuticals, Inc.","IT Manager
1 Salaries submitted",171
"Arrowhead Pharmaceuticals, Inc.","Loyal Employee
1 Salaries submitted",87
"Arrowhead Pharmaceuticals, Inc.","Senior Project Manager
1 Salaries submitted",176
"Assembly Biosciences, Inc.","Research Associate II
6 Salaries submitted",87
"Assembly Biosciences, Inc.","Senior Scientist
4 Salaries submitted",176
"Assembly Biosciences, Inc.","Scientist
4 Salaries submitted",136
"Assembly Biosciences, Inc.","Senior Manager
3 Salaries submitted",235
"Assembly Biosciences, Inc.","Lab Technician
2 Salaries submitted",55
"Assembly Biosciences, Inc.","Research Associate
2 Salaries submitted",86
"Assembly Biosciences, Inc.","Lab Manager
2 Salaries submitted",112
"Assembly Biosciences, Inc.","Bioinformatics Scientist
2 Salaries submitted",163
"Assembly Biosciences, Inc.","Quality Assurance Manager
1 Salaries submitted",148
"Assembly Biosciences, Inc.","Executive Assistant
1 Salaries submitted",96
"Assembly Biosciences, Inc.","Senior Systems Engineer
1 Salaries submitted",145
"Assembly Biosciences, Inc.","Clinical Trial Assistant
1 Salaries submitted",79
"Assembly Biosciences, Inc.","Clinical Trial Manager
1 Salaries submitted",140
"Assembly Biosciences, Inc.","IT Systems Engineer
1 Salaries submitted",125
"Assembly Biosciences, Inc.","Senior Clinical Trial Manager
1 Salaries submitted",153
"Assembly Biosciences, Inc.","Senior Director, Accounting
1 Salaries submitted",324
"Assembly Biosciences, Inc.","Manager
1 Salaries submitted",176
